,Fe,Mn,Ni,Co,Cr,del_G,del_H,Cp_FCC,VASP-PAW-GGA LSE_Avg,VASP-PAW-GGA LSE_Var,SGTE LSE_Avg,SGTE LSE_Var,Allen EN_Avg,Allen EN_Var,Pauling EN_Avg,Pauling EN_Var,Density_Avg,Density_Var,Atomic Weight_Avg,Atomic Weight_Var,Valence e_Avg,Valence e_Var,IE_Avg,IE_Var,Melting Point_Avg,Melting Point_Var,Specific Heat_Avg,Specific Heat_Var,Metallic Radius_Avg,Metallic Radius_Var,Shear Modulus_Avg,Shear Modulus_Var,Total Electrons_Avg,Total Electrons_Var,Atomic Planar Density_Avg,Atomic Planar Density_Var,C_11_Avg,C_11_Var,C_12_Avg,C_12_Var,C'_Avg,C'_Var,Heat of fusion_Avg,Heat of fusion_Var
20,30,35,0,35,0,-806.0924664830891,-236.6216025048057,25.772971,-407.79999999999995,4037.2942120930443,-117.25,1160.7984857416036,179.65,1778.5350399978067,174.95,1732.005630331495,806.25,7981.877341171061,5660.835000000001,56042.26921467809,800.0,7920.004419190686,74594.5,738485.5799626354,142075.0,1406543.09514675,2541.5,25160.850866971887,12600.0,124740.00028058361,7780.0,77022.00490768856,2600.0,25740.001359751324,1826.8984999999998,18086.295312731996,23750.0,235130.71775078645,21720.0,215028.301741887,1015.0,10092.73674480812,1443.0,14285.706107854801
21,30,40,0,30,0,-715.4691016758279,-166.2064491574674,26.368823,-412.9,4087.7812949080335,-120.10000000000001,1189.011797670654,179.2,1774.080039908008,173.3,1715.670661578148,799.0999999999999,7911.092255245162,5640.86,55844.51657154872,790.0,7821.004411199369,74379.0,736352.1318105218,140830.0,1394217.6397212883,2549.0,25235.100893398463,12610.0,124839.00027635595,7780.0,77022.00490768856,2590.0,25641.00134550131,1823.9986999999999,18057.587290496165,24270.0,240278.81361035557,21970.0,217503.27480293257,1150.0,11424.779647765641,1428.0,14137.205805957556
22,30,45,0,25,0,-641.2724908292057,-263.6545295306446,27.64386,-418.0,4138.268386052311,-122.95,1217.2251211259156,178.75,1769.6250386734473,171.65,1699.3356774045556,791.9499999999999,7840.3071025630115,5620.884999999999,55646.76385569968,780.0,7722.004273503091,74163.5,734218.6830366345,139585.0,1381892.173874286,2556.5,25309.350897444998,12620.0,124938.00026413101,7780.0,77022.00490768856,2580.0,25542.001291989633,1821.0989,18028.879263589115,24790.0,245426.89443090788,22220.0,219978.24562897123,1285.0,12757.740591499734,1413.0,13988.705336806548
23,30,50,0,20,0,-586.9802660392834,-318.2904519793192,27.537877,-423.09999999999997,4188.7554852246985,-125.8,1245.4384553240677,178.3,1765.1700362854567,170.0,1683.0006773617174,784.8,7769.521881300033,5600.91,55449.01106635293,770.0,7623.004001048405,73948.0,732085.2336355378,138340.0,1369566.6973243763,2564.0,25383.600879307884,12630.0,125037.0002439278,7780.0,77022.00490768856,2570.0,25443.00119875798,1818.1991,18000.1712319885,25310.0,250574.96113937642,22470.0,222453.21429460173,1420.0,14091.35905439926,1398.0,13840.204695018061
24,35,20,0,45,0,-1053.571611534973,-438.6501879471921,25.467657,-421.34999999999997,4171.447905404069,-117.75,1165.7530019262226,180.8,1789.9200322919457,179.64999999999998,1778.5354408894975,822.75,8145.227160521676,5705.32,56482.670652023524,825.0,8167.503596570987,75251.5,744989.8708655373,146025.0,1445647.9094976757,2520.5,24952.95063614722,12575.0,124492.500235958,7810.0,77319.00529624007,2625.0,25987.501130351106,1834.1307499999998,18157.894561523863,20725.0,205183.72068709545,21415.0,212008.87239688815,-345.0,3546.751330443114,1476.0,14612.405962058405
25,35,25,0,40,0,-975.7845292345046,-362.6382473849453,25.551959,-426.44999999999993,4221.934813269859,-120.60000000000001,1193.9662022017208,180.35000000000002,1785.4650350818972,178.0,1762.2005135625172,815.5999999999999,8074.442220859592,5685.345,56284.91816766713,815.0,8068.503888578105,75036.0,742856.4245770511,144780.0,1433322.4855698037,2528.0,25027.200726409654,12585.0,124591.50025182296,7810.0,77319.00529624007,2615.0,25888.501211928047,1831.2309500000001,18129.186550823488,21245.0,210331.89267203392,21665.0,214483.8478184313,-210.0,2292.6185901715094,1461.0,14463.906007714513
26,35,30,0,35,0,-886.2334656022867,-275.6659128307874,25.744279,-431.54999999999995,4272.421733338131,-123.45,1222.179419111613,179.9,1781.0100367488108,176.35,1745.865572001464,808.4499999999999,8003.657218390852,5665.370000000001,56087.165612281664,805.0,7969.504062361722,74820.5,740722.9776829864,143535.0,1420997.0520535924,2535.5,25101.450793729033,12595.0,124690.50025964288,7810.0,77319.00529624007,2605.0,25789.50125535583,1828.33115,18100.478535506965,21765.0,215480.04389037978,21915.0,216958.82092000777,-75.0,1226.7253156269337,1446.0,14315.405897144516
27,35,35,0,30,0,-778.4075187381059,-155.1735102825392,25.741643,-436.6499999999999,4322.908665181349,-126.30000000000001,1250.3926515299106,179.45,1776.5550372842379,174.7,1729.5306158030276,801.3,7932.872151434182,5645.395,55889.41298511316,795.0,7870.504113460585,74605.0,738589.5301780957,142290.0,1408671.6086973571,2543.0,25175.700838308352,12605.0,124789.50025943689,7810.0,77319.00529624007,2595.0,25690.501260193425,1825.43135,18071.7705155523,22285.0,220628.1757958398,22165.0,219433.79178011758,60.0,1151.3948063110238,1431.0,14166.90562543564
28,35,40,0,25,0,-677.02340898689,-166.4446503296458,27.715556,-441.74999999999994,4373.395608391721,-129.15,1278.605898430005,179.0,1772.1000366796452,173.05,1713.1956445485146,794.15,7862.087018247763,5625.42,55691.660285396945,785.0,7771.50403718611,74389.5,736456.0820570701,141045.0,1396346.1552405264,2550.5,25249.95086034822,12615.0,124888.50025122409,7810.0,77319.00529624007,2585.0,25591.501225992975,1822.5315500000002,18043.06249093735,22805.0,225776.2897095264,22415.0,221908.76047375868,195.0,2172.2488347332587,1416.0,14018.40518746694
29,35,45,0,20,0,-604.6147181792294,-284.8359471071853,27.615071,-446.84999999999997,4423.882562580068,-132.0,1306.819158873943,178.55,1767.6450349264132,171.4,1696.860657803109,787.0,7791.301817026471,5605.445,55493.907512357466,775.0,7672.503828607712,74174.0,734322.6333145398,139800.0,1384020.691413246,2558.0,25324.200860046894,12625.0,124987.5002350235,7810.0,77319.00529624007,2575.0,25492.50115229967,1819.63175,18014.354461639832,23325.0,230924.3868347386,22665.0,224383.72707261995,330.0,3418.1456961340896,1401.0,13869.904577898147
